ACCESS_label,HHL_label,FINCP,NPF,GRPIP
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,101
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,101
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,84
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,17
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,17
"Yes, without paying a cell phone company or Internet service provider",English only,-60000,1,20
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,36
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,21
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,21
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,21
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,19
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,33
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,33
"Yes, by paying a cell phone company or Internet service provider",English only,156000,2,8
"Yes, by paying a cell phone company or Internet service provider",English only,156000,2,8
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,12
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,12
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,12
"Yes, by paying a cell phone company or Internet service provider",Other language,62000,2,34
"Yes, by paying a cell phone company or Internet service provider",Other language,62000,2,34
"Yes, by paying a cell phone company or Internet service provider",Spanish,125600,4,19
"Yes, by paying a cell phone company or Internet service provider",Spanish,125600,4,19
"Yes, by paying a cell phone company or Internet service provider",Spanish,125600,4,19
"Yes, by paying a cell phone company or Internet service provider",Spanish,125600,4,19
"Yes, by paying a cell phone company or Internet service provider",English only,61000,2,32
"Yes, by paying a cell phone company or Internet service provider",English only,61000,2,32
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,30
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,37
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,47
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,25
"No access to the Internet at this house, apartment, or mobile home",Spanish,20000,2,9
"No access to the Internet at this house, apartment, or mobile home",Spanish,20000,2,9
"No access to the Internet at this house, apartment, or mobile home",Spanish,20000,2,9
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,13
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,17
"Yes, by paying a cell phone company or Internet service provider",English only,100000,2,13
"Yes, by paying a cell phone company or Internet service provider",English only,100000,2,13
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,25
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,28
"No access to the Internet at this house, apartment, or mobile home",English only,11020,2,101
"No access to the Internet at this house, apartment, or mobile home",English only,11020,2,101
"No access to the Internet at this house, apartment, or mobile home",Other Indo-European languages,-60000,1,70
"Yes, by paying a cell phone company or Internet service provider",English only,642000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only,642000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,33
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,66
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,66
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,101
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,28200,2,17
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,28200,2,17
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,28
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,24
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,24
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,24
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,21
"No access to the Internet at this house, apartment, or mobile home",Asian and Pacific Island languages,40000,2,22
"No access to the Internet at this house, apartment, or mobile home",Asian and Pacific Island languages,40000,2,22
